WordRep,Word,Interval,RealTime,Time,F1,F2,F3,F1_s,F2_s,F3_s
kedavra01,kedavra,e,1.2031028156623556,0.012500000000000002,285.12330315380916,1733.5449777519277,3195.0897748485654,619.0816736946152,2094.8954594033908,3431.5089488373965
kedavra01,kedavra,e,1.2093528156623556,0.018750000000000003,315.42410330979794,1750.2979777837377,3101.1563839611913,324.3410700589564,1751.734275885715,3107.822345073439
kedavra01,kedavra,e,1.2156028156623555,0.025,372.4758037132622,1771.35987212148,3027.2208764105603,375.45697289499543,1773.1077540582094,3087.281342548418
kedavra01,kedavra,e,1.2218528156623556,0.03125000000000001,438.471011661926,1797.6654122694104,3133.4667672735013,416.8846350132215,1794.2142411832826,3112.169777252415
kedavra01,kedavra,e,1.2281028156623557,0.037500000000000006,439.70708966447637,1813.6174391589573,3175.821688073184,425.41772673460247,1801.885363680594,3154.6158427201285
kedavra01,kedavra,e,1.2343528156623556,0.043750000000000004,398.07507887740496,1794.3732396134146,3154.5590728137004,398.07507887740496,1794.3732396134146,3154.5590728137004
kedavra01,kedavra,non,1.2406028156623556,0.05,,,,,,
kedavra01,kedavra,non,1.2468528156623555,0.05625,,,,,,
kedavra01,kedavra,non,1.2531028156623556,0.0625,,,,,,
kedavra01,kedavra,non,1.2593528156623557,0.06875,,,,,,
kedavra01,kedavra,non,1.2656028156623556,0.075,,,,,,
kedavra01,kedavra,non,1.2718528156623556,0.08125,,,,,,
kedavra01,kedavra,non,1.2781028156623555,0.0875,,,,,,
kedavra01,kedavra,non,1.2843528156623556,0.09375,,,,,,
kedavra01,kedavra,non,1.2906028156623557,0.1,,,,,,
kedavra01,kedavra,non,1.2968528156623556,0.10625,,,,,,
kedavra01,kedavra,a,1.3031028156623556,0.1125,576.9969422135863,1871.9403798049234,3253.3174034339486,576.9969422135863,1871.9403798049234,3253.3174034339486
kedavra01,kedavra,a,1.3093528156623555,0.11875,658.3554147366639,1864.2855312146187,3259.246427223559,643.1556170359578,1870.4142058614223,3264.48171401145
kedavra01,kedavra,a,1.3156028156623556,0.125,694.1144941576231,1875.0167065647247,3280.8813113768438,696.1713343840415,1873.9182473600465,3270.361142263781
kedavra01,kedavra,a,1.3218528156623557,0.13125,736.0440942578376,1882.4525043007961,3270.955688190941,743.010347395745,1877.404591704031,3245.271987303251
kedavra01,kedavra,a,1.3281028156623556,0.1375,798.8724537717745,1874.7445642465716,3183.9789623419692,792.972351252397,1872.3110872276345,3188.9055095610183
kedavra01,kedavra,a,1.3343528156623556,0.14375000000000002,844.0005057275787,1859.7361931355351,3111.781878150144,842.4174827744741,1856.3821185799798,3135.1468746998094
kedavra01,kedavra,a,1.3406028156623555,0.15,884.3794888240692,1834.6655983578328,3109.6797836073138,883.0329653336977,1833.540345143508,3092.75478534214
kedavra01,kedavra,a,1.3468528156623556,0.15625,920.7189014494453,1806.2192439371563,3056.8026942689626,929.6964815602652,1808.9589603144266,3057.7103152240174
kedavra01,kedavra,a,1.3531028156623557,0.1625,983.991054407281,1785.9920386482904,3006.648467795775,970.508270360013,1780.8303574186266,3024.580523455661
kedavra01,kedavra,a,1.3593528156623556,0.16875,1006.8148552233127,1750.2797896704328,3010.2904083022468,985.6743191065931,1735.5339557459108,3024.6204915406015
kedavra01,kedavra,a,1.3656028156623556,0.17500000000000002,966.2170476891858,1670.3300389190094,3056.9225985237817,983.8378012140425,1688.237097287031,3058.656423953904
kedavra01,kedavra,a,1.3718528156623555,0.18125,978.4815007296291,1644.1014632716501,3108.7562650356826,987.1589572588254,1659.1654570211797,3092.7965156481882
kedavra01,kedavra,a,1.3781028156623556,0.1875,1016.7783233576611,1663.0648688728795,3112.7106833851017,1013.7194672452529,1666.0239800036113,3108.670433853686
