Rep,Word,Interval,RealTime,Time,F1,F2,F3,F1_s,F2_s,F3_s,Speaker
kedavra01,kedavra,c,1.6093528156623556,0.1375,633.9260445324185,1355.976881779531,1951.6987682873894,589.526975482155,1352.5688264783093,1940.5753589340227,Clara
kedavra01,kedavra,c,1.6156028156623556,0.14375,559.5204292582546,1372.1299374318203,1953.8775970507309,570.7452767180101,1364.5472082701224,1947.0012023265517,Clara
kedavra01,kedavra,c,1.6218528156623555,0.15,556.8624353538607,1384.8028520405492,1955.5356396898474,555.4224585275174,1370.0606702640516,1948.304980337133,Clara
kedavra01,kedavra,c,1.6281028156623556,0.15625,549.884510970437,1369.1514501108034,1942.9059589982764,549.0080513524033,1355.8277235106746,1946.76851633408,Clara
kedavra01,kedavra,c,1.6343528156623557,0.1625,515.5712555126777,1327.6910266499092,1933.1329283207504,537.7670827424212,1345.337821995153,1952.737113530289,Clara
kedavra01,kedavra,c,1.6406028156623556,0.16875,530.6699044953873,1314.290981105496,1955.1096649606427,531.3748469306595,1332.294375662247,1969.7947084217587,Clara
kedavra01,kedavra,c,1.6468528156623556,0.175,530.7078035351517,1350.650951799584,1999.4622109055115,538.7952705978752,1338.3144471518353,1998.9329110819774,Clara
kedavra01,kedavra,c,1.6531028156623555,0.18125,558.1997214497593,1345.7512411186747,2033.047822384728,556.3636610280596,1344.8603534733716,2035.264019417543,Clara
kedavra01,kedavra,c,1.6593528156623556,0.1875,594.3691539339663,1324.5779414154974,2073.382629014721,578.5493220209763,1359.816013887417,2078.093830160475,Clara
kedavra01,kedavra,c,1.6656028156623557,0.19375,593.4896801791768,1371.8661752600356,2117.5339668549273,579.0698852449146,1385.6762868108651,2121.9311986516727,Clara
kedavra01,kedavra,c,1.6718528156623556,0.2,600.1604190938377,1425.1982432929458,2171.7537227882435,579.8680274226533,1414.6763242652462,2166.132936397205,Clara
kedavra01,kedavra,c,1.6781028156623556,0.20625,534.710656633571,1474.7979445180015,2218.33508401249,559.5740127947342,1445.1867594178564,2220.551722907117,Clara
kedavra01,kedavra,c,1.6843528156623555,0.2125,556.3178356015302,1466.4193978120513,2244.0384929246047,562.4214323493994,1462.6289857248819,2291.295162408256,Clara
kedavra01,kedavra,c,1.6906028156623556,0.21875,538.0548286267187,1462.9326516134204,2353.3139868499475,559.2780928254962,1467.7486184435745,2365.614169860174,Clara
kedavra01,kedavra,c,1.6968528156623557,0.225,588.9670185392092,1484.89807980814,2516.291194949647,584.1507568611044,1465.4097477741345,2462.144798071137,Clara
kedavra01,kedavra,c,1.7031028156623558,0.23125,599.5633889252288,1459.402785803732,2508.3922735744095,623.8620060384027,1458.8683201454357,2589.6643272952892,Clara
kedavra01,kedavra,c,1.7093528156623556,0.2375,633.03445093473,1412.1449922359943,2634.541645178568,655.6813348748173,1446.887120553625,2714.477860510724,Clara
kedavra01,kedavra,c,1.7156028156623555,0.24375,783.9889602793,1452.6661260442645,3017.0545896447557,683.8476698410628,1439.8539411624788,2867.902103786217,Clara
kedavra01,kedavra,c,1.7218528156623556,0.25,695.499739635706,1438.3032476302938,2976.045814538396,636.978143925668,1428.8172415019765,2953.5271596986,Clara
kedavra01,kedavra,c,1.7281028156623557,0.25625,551.16759685608,1422.9243569424918,3054.32371013642,583.0089076417447,1433.3680309651888,3048.839277420957,Clara
kedavra01,kedavra,c,1.7343528156623558,0.2625,258.54934989625207,1420.9089286131587,3063.1513841550627,537.7031612708203,1445.78259728929,3098.8891701787525,Clara
kedavra01,kedavra,c,1.7406028156623556,0.26875,453.55117601081577,1454.8286197030693,3128.136455914686,614.0344003651552,1466.361700902734,3190.6003184619003,Clara
kedavra01,kedavra,c,1.7468528156623555,0.275,860.6156511496135,1530.184964592037,3308.5262721728877,790.3105881309172,1491.5677767493326,3286.9866375017864,Clara
kedavra01,kedavra,c,1.7531028156623556,0.28125,1106.771452267354,1514.4947158625769,3461.3276324776602,1004.3698373938911,1503.521251603693,3375.790964152973,Clara
kedavra01,kedavra,c,1.7593528156623557,0.2875,1201.7602483118546,1511.4073711656797,3452.251808117535,1201.7602483118546,1511.4073711656797,3452.251808117535,Clara
avada02,avada,non,2.49626363592604,-0.2625,,,,,,,Clara
avada02,avada,non,2.5025136359260403,-0.25625,,,,,,,Clara
avada02,avada,non,2.5087636359260403,-0.25,,,,,,,Clara
avada02,avada,non,2.5150136359260404,-0.24375,,,,,,,Clara
avada02,avada,non,2.5212636359260405,-0.2375,,,,,,,Clara
avada02,avada,non,2.52751363592604,-0.23125,,,,,,,Clara
avada02,avada,non,2.5337636359260403,-0.225,,,,,,,Clara
avada02,avada,non,2.5400136359260403,-0.21875,,,,,,,Clara
avada02,avada,non,2.5462636359260404,-0.2125,,,,,,,Clara
avada02,avada,non,2.5525136359260405,-0.20625,,,,,,,Clara
avada02,avada,non,2.55876363592604,-0.2,,,,,,,Clara
avada02,avada,non,2.5650136359260403,-0.19375,,,,,,,Clara
avada02,avada,non,2.5712636359260403,-0.1875,,,,,,,Clara
avada02,avada,b,2.5775136359260404,-0.18125,627.2532242532496,1582.2807701039094,3093.687053055351,627.2532242532496,1582.2807701039094,3093.687053055351,Clara
avada02,avada,b,2.5837636359260405,-0.175,682.9841576539011,1586.0467631210977,3108.363321284022,683.052542174007,1597.5396011574703,3115.8961824897015,Clara
