Rep,Word,Interval,RealTime,Time,F1,F2,F3,F1_s,F2_s,F3_s,Speaker,Ch3_X,Ch3_Y,Ch4_X,Ch4_Y
gentlemanly,gentlemanly,3,1.2841768278970571,0.0625,688.0312171480496,1190.3381760775744,2568.4032410196546,691.4524888903721,1196.7117567596804,2570.4359038766233,S1,32.0081322924732,10.05,57.636472108004945,12.478962384707335
gentlemanly,gentlemanly,3,1.2904268278970572,0.06875,683.1474984892501,1189.8426971258084,2585.825253759624,675.8183071565376,1198.6091423028868,2580.5116676051616,S1,32.24051458494641,10.131254051374002,57.87250810274801,12.5922508102748
gentlemanly,gentlemanly,3,1.296676827897057,0.075,656.2762058323128,1203.1146960431947,2598.503756169654,641.8519613435789,1213.4167189675254,2586.2365179889275,S1,32.46005544133827,10.1841274308244,58.011218866905736,12.609418287216267
gentlemanly,gentlemanly,3,1.3029268278970572,0.08125,586.1321797091738,1227.6829324155945,2588.2289523282107,585.1587107878378,1238.1574839512593,2586.2934229473526,S1,32.60017233859027,10.192832523058533,58.15884224635614,12.641502430824401
gentlemanly,gentlemanly,3,1.309176827897057,0.0875,513.0677468220267,1266.4071160997862,2576.4121154657596,518.6115626903289,1272.3209487619235,2584.407536870021,S1,32.7451355335724,10.19,58.3632645849464,12.6885032410992
gentlemanly,gentlemanly,3,1.3154268278970571,0.09375,456.6347615397862,1314.214529607578,2579.019474611648,459.4720924395148,1310.6032054116595,2583.7733774900166,S1,32.92084143608134,10.213747569175599,58.57543044133828,12.804589005256936
gentlemanly,gentlemanly,4,1.3216768278970572,0.1,408.7137689567313,1356.099302305601,2586.326774158084,422.07770573316606,1345.573196601712,2585.8294656096373,S1,33.040882292473206,10.226339815531738,58.80084953882935,12.873627430824401
gentlemanly,gentlemanly,4,1.327926827897057,0.10625,389.2543577094748,1385.0008224338198,2593.633473764748,400.08843050931983,1372.0592859498004,2589.79237783883,S1,33.1320048616488,10.312004861648802,58.980008102748,12.9040016205496
gentlemanly,gentlemanly,4,1.3341768278970572,0.1125,393.05540444922985,1395.6181068578858,2593.2581814995,394.5436788660829,1386.0461648951252,2591.5274398309007,S1,33.18783657443253,10.225949420310528,59.01945914360814,12.928918287216268
gentlemanly,gentlemanly,4,1.340426827897057,0.11875,392.07951402702054,1396.4221320600982,2591.5316601644095,391.64089098946494,1389.9327696530308,2591.623806721948,S1,33.18958738470733,10.215752430824402,59.063422338590264,12.998495138351199
gentlemanly,gentlemanly,4,1.3466768278970571,0.125,391.03824853893974,1387.5185188554603,2590.081578501935,392.42116927803744,1383.3195777316014,2586.423676400807,S1,33.273758102748005,10.24,59.1068725691756,12.9587516205496
gentlemanly,gentlemanly,4,1.3529268278970572,0.13125,392.27293211923296,1370.8719014826706,2577.657790536075,393.63051721309176,1374.853546894259,2577.255279764034,S1,33.39150729247321,10.253668287216268,59.05582928195933,13.058843866905741
gentlemanly,gentlemanly,4,1.359176827897057,0.1375,394.97729292899004,1358.8640333724707,2564.0264702540912,395.8298280985843,1368.0124919413931,2567.4381286491275,S1,33.3921225691756,10.241415046117066,59.012122569175595,13.053537615292665
gentlemanly,gentlemanly,4,1.3654268278970572,0.14375,399.14218354513423,1361.4685392066208,2560.6301251572168,398.89681096581916,1368.1196695138553,2561.5987218038517,S1,33.40925891302281,10.1935016205496,58.925488656152794,13.022760533572407
gentlemanly,gentlemanly,4,1.371676827897057,0.15,402.57101853021885,1375.126674621255,2560.139570000247,409.6142945841293,1380.2989653746463,2556.6994720010766,S1,33.53367314886507,10.193163425567466,58.76369942031053,13.113163425567466
gentlemanly,gentlemanly,4,1.3779268278970571,0.15625,405.27525512620457,1380.9183291934949,2549.3287208457664,438.5943065095303,1440.0970247719426,2535.8934161118377,S1,33.5399951383512,10.176667476941466,58.58665289199506,13.063330092234132
